column_name,signal_class,modeling_group,keep_for_modeling,guessed_type,role_group,confidence,reason,decision_reason
Val_1,raw_physical,core,yes,screw_speed_actual_candidate,key_process,high,"0-138 range, immediate ON/OFF response, strongest primary production signal",Core raw physical sensor selected for first-pass modeling
Val_5,raw_physical,core,yes,motor_load_or_current_candidate,key_process,high,"0-91.7 range, immediate ON/OFF response, strongest short-term coupling with Val_1 among load candidates",Core raw physical sensor selected for first-pass modeling
Val_6,raw_physical,core,yes,melt_pressure_candidate,key_process,high,"2-402 range, collapses to low floor on stop, tracks production/load strongly",Core raw physical sensor selected for first-pass modeling
Val_7,raw_physical,core,yes,temperature_zone_candidate,temperature,high,"24-187 range, smooth heating/cooling, strong thermal inertia",Core raw physical sensor selected for first-pass modeling
Val_8,raw_physical,core,yes,temperature_zone_candidate,temperature,high,"25-186 range, smooth heating/cooling, strong thermal inertia",Core raw physical sensor selected for first-pass modeling
Val_9,raw_physical,core,yes,temperature_zone_candidate,temperature,high,"25-183 range, smooth heating/cooling, strong thermal inertia",Core raw physical sensor selected for first-pass modeling
Val_10,raw_physical,core,yes,temperature_zone_candidate,temperature,high,"22.5-180 range, smooth heating/cooling, strong thermal inertia",Core raw physical sensor selected for first-pass modeling
Val_11,raw_physical,core,yes,temperature_zone_candidate,temperature,high,"22.5-180 range, smooth heating/cooling, strong thermal inertia",Core raw physical sensor selected for first-pass modeling
Val_27,raw_physical,core,yes,temperature_zone_candidate,temperature,high,"24-175 range, smooth heating/cooling, strong thermal inertia",Core raw physical sensor selected for first-pass modeling
Val_28,raw_physical,core,yes,temperature_zone_candidate,temperature,high,"24-181 range, smooth heating/cooling, strong thermal inertia",Core raw physical sensor selected for first-pass modeling
Val_29,raw_physical,core,yes,temperature_zone_candidate,temperature,high,"24-183 range, smooth heating/cooling, strong thermal inertia",Core raw physical sensor selected for first-pass modeling
Val_30,raw_physical,core,yes,temperature_zone_candidate,temperature,high,"21-185 range, smooth heating/cooling, strong thermal inertia",Core raw physical sensor selected for first-pass modeling
Val_31,raw_physical,core,yes,temperature_zone_candidate,temperature,high,"21-185 range, smooth heating/cooling, strong thermal inertia",Core raw physical sensor selected for first-pass modeling
Val_32,raw_physical,core,yes,temperature_zone_candidate,temperature,high,"24.5-182 range, smooth heating/cooling, strong thermal inertia",Core raw physical sensor selected for first-pass modeling
Val_2,raw_physical,supporting,yes,slow_aux_temperature_or_environment,auxiliary_slow,low,"18-53 range, very smooth, low-variance auxiliary slow process channel",Optional raw physical support signal outside the core sensor set
Val_3,raw_physical,supporting,yes,slow_process_setting_or_aux_measure,auxiliary_slow,low,"24-86 range, slow behavior, correlates with Val_33/Val_34 but not a key fast process variable",Optional raw physical support signal outside the core sensor set
Val_4,raw_physical,supporting,yes,drive_frequency_or_aux_speed,key_process,medium,"0-15 range, immediate ON/OFF response, tightly coupled to Val_1 but lower dynamic range",Optional raw physical support signal outside the core sensor set
Val_19,control_or_setpoint,supporting,yes,recipe_or_setpoint_level,control_or_setpoint,high,"0-37.5 range, immediate ON/OFF response, only 39 unique values, strongly stepwise",Optional control/setpoint signal kept separate from the core physical sensor set
Val_20,control_or_setpoint,supporting,yes,aux_load_or_control_signal,control_or_setpoint,medium,"0-22.1 range, immediate ON/OFF response, moderately dynamic but less likely primary measured variable",Optional control/setpoint signal kept separate from the core physical sensor set
Val_33,derived_metric,supporting,yes,slow_derived_process_metric,derived_slow,medium,"0.6-7.5 range, smooth rise and gradual decay, likely derived thermal/process metric",Single optional derived representative retained; paired Val_34 excluded as redundant
Val_12,inactive_or_unused,excluded,no,unused_channel,inactive,high,"100% zero, no variation",Excluded because channel is inactive or effectively unused
Val_14,inactive_or_unused,excluded,no,unused_channel,inactive,high,"100% zero, no variation",Excluded because channel is inactive or effectively unused
Val_15,inactive_or_unused,excluded,no,unused_channel,inactive,high,"100% zero, no variation",Excluded because channel is inactive or effectively unused
Val_21,inactive_or_unused,excluded,no,constant_marker_or_limit,inactive,high,constant 100 for all rows,Excluded because channel is inactive or effectively unused
Val_22,inactive_or_unused,excluded,no,unused_channel,inactive,high,"100% zero, no variation",Excluded because channel is inactive or effectively unused
Val_23,inactive_or_unused,excluded,no,unused_channel,inactive,high,"100% zero, no variation",Excluded because channel is inactive or effectively unused
Val_34,derived_metric,excluded,no,slow_derived_process_metric_scaled,derived_slow,medium,"6-68 range, same shape as Val_33 at about 10x scale, likely related derived metric","Excluded as redundant with Val_33, which carries the same slow derived pattern"
Val_35,control_or_setpoint,excluded,no,constant_setpoint_or_limit,inactive,high,constant 200 for all rows,Excluded because this constant setpoint/limit signal is not informative for first-pass modeling
Val_36,control_or_setpoint,excluded,no,constant_setpoint_or_limit,inactive,high,constant 200 for all rows,Excluded because this constant setpoint/limit signal is not informative for first-pass modeling
Val_37,inactive_or_unused,excluded,no,unused_channel,inactive,high,"100% zero, no variation",Excluded because channel is inactive or effectively unused
Val_38,score_or_bounded_signal,excluded,no,bounded_deviation_or_score,bounded_score,medium,"-100 to 100 bounded, production-active, negatives likely semantic not raw physical",Excluded for first-pass modeling because it is a bounded or score-like derived signal
Val_39,score_or_bounded_signal,excluded,no,bounded_percentage_signal,bounded_percentage,medium,"0-100 bounded, zero in OFF periods, percentage-like behavior",Excluded for first-pass modeling because it is a bounded or score-like derived signal
Val_40,score_or_bounded_signal,excluded,no,bounded_percentage_signal,bounded_percentage,medium,"0-100 bounded, zero in OFF periods, percentage-like behavior",Excluded for first-pass modeling because it is a bounded or score-like derived signal
Val_41,inactive_or_unused,excluded,no,rare_event_flag_or_unused,inactive,high,"97.9% zero, effectively inactive for modeling",Excluded because channel is inactive or effectively unused
Val_42,score_or_bounded_signal,excluded,no,bounded_percentage_signal,bounded_percentage,medium,"0-100 bounded, zero in OFF periods, percentage-like behavior",Excluded for first-pass modeling because it is a bounded or score-like derived signal
Val_43,score_or_bounded_signal,excluded,no,bounded_percentage_signal,bounded_percentage,medium,"0-100 bounded, mostly low values with production-only activation",Excluded for first-pass modeling because it is a bounded or score-like derived signal
Val_44,score_or_bounded_signal,excluded,no,bounded_score_or_percentage,bounded_score,medium,"0-100 bounded, correlated with production level but short-term behavior suggests derived score/percent",Excluded for first-pass modeling because it is a bounded or score-like derived signal
Val_45,score_or_bounded_signal,excluded,no,bounded_score_or_percentage,bounded_score,medium,"0-100 bounded, production-only, not a core physical sensor",Excluded for first-pass modeling because it is a bounded or score-like derived signal
Val_46,score_or_bounded_signal,excluded,no,bounded_deviation_or_score,bounded_score,medium,"-100 to 100 bounded, negatives likely semantic not raw physical",Excluded for first-pass modeling because it is a bounded or score-like derived signal
Val_47,score_or_bounded_signal,excluded,no,bounded_deviation_or_score,bounded_score,medium,"-100 to 100 bounded, negatives likely semantic not raw physical",Excluded for first-pass modeling because it is a bounded or score-like derived signal
Val_48,score_or_bounded_signal,excluded,no,bounded_deviation_or_score,bounded_score,medium,"-100 to 100 bounded, negatives likely semantic not raw physical",Excluded for first-pass modeling because it is a bounded or score-like derived signal
